271: Yuan Wang, weight = 105575
272: Qi Liu, weight = 105184
273: Wei Hu, weight = 105047
274: Yu Zhou, weight = 104858
275: Jun Ma, weight = 104725
276: Feng Wu, weight = 104582
277: Chen Zhang, weight = 104323
278: Qiang Zhang, weight = 104121
279: Jiebo Luo, weight = 103772
280: Jue Wang, weight = 103694
281: HongJiang Zhang, weight = 103563
282: Jie Xu, weight = 103241
283: Hao Liu, weight = 103223
284: Yue Liu, weight = 103064
285: Jun Zhou, weight = 102973
286: Dan Li, weight = 102962
287: Nan Zhang, weight = 102676
288: Shipeng Li, weight = 102641
289: Yang Chen, weight = 102611
290: Zhaohui Wu, weight = 102394
291: Qing Liu, weight = 102205
292: Wei Fan, weight = 102117
293: Zhen Li, weight = 102064
294: Schahram Dustdar, weight = 102001
295: Kai Li, weight = 101883
296: Jie Wu 0001, weight = 101802
297: Xiaofang Zhou, weight = 101763
298: Kun Yang, weight = 101490
299: Zhu Han, weight = 101390
300: Yong Chen, weight = 101208
301: Peng Xu, weight = 100973
302: Xian-Sheng Hua, weight = 100750
303: Zheng Zhang, weight = 100688
304: Yang Xiao, weight = 100599
305: Yuan Chen, weight = 100410
306: Feng Tian, weight = 100352
307: Xin Xu, weight = 100298
308: Yue Gao, weight = 100196
309: Wei Guo, weight = 100082
310: Carole A. Goble, weight = 100068
311: Yuan Zhang, weight = 99510
312: Jun Guo, weight = 99464
313: David Zhang, weight = 99329
314: Jin Li, weight = 99107
315: Xu Wang, weight = 98922
316: Liang Li, weight = 98781
317: Yun Li, weight = 98625
318: Jing Zhao, weight = 98501
319: Chao Yang, weight = 98006
320: Rongrong Ji, weight = 97786
321: Beng Chin Ooi, weight = 97233
322: Jie Zhou, weight = 97176
323: Xiang Chen, weight = 97124
324: Xing Zhang, weight = 97016
325: Stan Z. Li, weight = 96979
326: Nan Li, weight = 96713
327: Xu Li, weight = 96380
328: Witold Pedrycz, weight = 96270
329: Jing Xu, weight = 96244
330: Gang Wu, weight = 96075
331: Jun Yu, weight = 96045
332: Xiaokang Yang, weight = 95783
333: Feng Gao, weight = 95766
334: Hui Zhao, weight = 95147
335: Yun Zhang, weight = 95068
336: Hui Chen, weight = 94800
337: Xin Yang, weight = 94795
338: Huan Liu, weight = 94720
339: Jack Dongarra, weight = 94682
340: Lin Li, weight = 94468
341: Wei Sun, weight = 94357
342: Yi Xu, weight = 94346
343: Chuang Lin, weight = 94235
344: Jian Huang, weight = 94115
345: Hang Li, weight = 94008
346: Jun He, weight = 93836
347: Bin Xu, weight = 93803
348: Jin Liu, weight = 93683
349: Bing Wang, weight = 93589
350: Yong Rui, weight = 93580
351: Shih-Fu Chang, weight = 93404
352: Min Xu, weight = 93351
353: Hui Xu, weight = 93329
354: Ming Yang, weight = 93323
355: Sheng Li, weight = 93314
356: Lajos Hanzo, weight = 93123
357: Jun Xu, weight = 92807
358: Cong Wang, weight = 92674
359: Ling Wang, weight = 92671
360: Zhen Zhang, weight = 92636
361: Yan Xu, weight = 92624
362: Tao Huang, weight = 92604
363: Xiaoming Li, weight = 92422
364: Feng Yang, weight = 92342
365: Jianhua Zhang, weight = 92322
366: Luca Benini, weight = 92037
367: Aoying Zhou, weight = 92037
368: Cheng Zhang, weight = 91981
369: Kai Yu, weight = 91952
370: Chao Liu, weight = 91813
371: Wenbo Wang 0007, weight = 91552
372: Peng Yang, weight = 91456
373: Liang Zhao, weight = 91175
374: Mario Gerla, weight = 91137
375: Lei Zhao, weight = 91083
376: Ewan Birney, weight = 90800
377: Zheng Chen, weight = 90711
378: Lin Yang, weight = 90706
379: Hao Yu, weight = 90636
380: Chonggang Wang, weight = 90500
381: Jia Li, weight = 90469
382: Yuan Liu, weight = 90223
383: Zhen Wang, weight = 90208
384: Chang Wen Chen, weight = 90149
385: Jeffrey Xu Yu, weight = 90058
386: Ling Chen, weight = 90011
387: Lei Xie, weight = 89691
388: Ke Zhang, weight = 89460
389: Ye Tian, weight = 89325
390: Yu Cheng, weight = 89312
391: Jun Yan, weight = 89258
392: Li Xu, weight = 89195
393: Yue Zhang, weight = 89024
394: Xiang-Yang Li, weight = 88685
395: Xi Li, weight = 88258
396: Yang Gao, weight = 88156
397: Yin Zhang, weight = 88141
398: Ming Chen, weight = 88127
399: Liang Zhou, weight = 88112
400: Qing Zhang, weight = 87857
401: Alberto L. Sangiovanni-Vincentelli, weight = 87604
402: Xiaohua Jia, weight = 87452
403: Jinhui Tang, weight = 87184
404: Josef Kittler, weight = 86953
405: Feng Xu, weight = 86921
406: Wei Xiong, weight = 86838
407: Yuan Xie 0001, weight = 86701
408: Jie Wu, weight = 86696
409: Haixun Wang, weight = 86651
410: Bo Hu, weight = 86576
411: Xiao Wang, weight = 86540
412: Ewa Deelman, weight = 86469
413: Jianhua Ma, weight = 86427
414: Xing Xie, weight = 86298
415: Ting Liu, weight = 86171
416: Bin Zhou, weight = 86164
417: Ke Li, weight = 86015
418: Li Zhao, weight = 85885
419: Cong Liu, weight = 85770
420: Paul M. Thompson, weight = 85750
421: Ping Zhang 0003, weight = 85620
422: Lei Huang, weight = 85619
423: Bin Yang, weight = 85581
424: Jiangchuan Liu, weight = 85553
425: Albert Y. Zomaya, weight = 85544
426: Lei Zhou, weight = 85270
427: Hui Yu, weight = 85256
428: Lei Chen 0002, weight = 85089
429: Weisi Lin, weight = 84872
430: Yan Yan, weight = 84681
431: Bo Zhou, weight = 84580
432: Qingming Huang, weight = 84477
433: Yuan Tian, weight = 84405
